fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
132,coche,0.4745790958404541,52,1389,322,1469,375,,,,,,,
133,coche,0.44700196385383606,1,1245,315,1283,345,,,,,,,
133,coche,0.7237262725830078,45,1425,321,1514,381,,,,,,,
133,persona,0.8317988514900208,46,164,246,247,470,,,,,,,
133,coche,0.4570162296295166,52,1390,322,1468,375,,,,,,,
134,coche,0.4250222444534302,1,1244,315,1282,345,,,,,,,
134,coche,0.7129936814308167,45,1425,321,1514,381,,,,,,,
134,persona,0.8534591197967529,46,169,241,253,469,,,,,,,
134,coche,0.4319676458835602,52,1391,323,1466,374,,,,,,,
135,coche,0.43302121758461,1,1243,315,1282,345,,,,,,,
135,coche,0.7188746929168701,45,1424,321,1514,382,,,,,,,
135,persona,0.8511821627616882,46,176,240,260,467,,,,,,,
135,coche,0.4155810475349426,52,1391,323,1465,374,,,,,,,
136,coche,0.39924511313438416,1,1243,315,1282,345,,,,,,,
136,coche,0.7097746729850769,45,1423,321,1514,382,,,,,,,
136,persona,0.8251664042472839,46,185,241,269,467,,,,,,,
136,coche,0.4488077461719513,52,1391,323,1463,374,,,,,,,
137,coche,0.4387917220592499,1,1243,315,1282,345,,,,,,,
137,coche,0.7176617980003357,45,1421,320,1512,382,,,,,,,
137,persona,0.8236967325210571,46,190,246,274,468,,,,,,,
137,coche,0.4388781785964966,52,1393,323,1465,374,,,,,,,
138,coche,0.44547367095947266,1,1242,315,1281,344,,,,,,,
138,coche,0.7068920135498047,45,1421,320,1513,382,,,,,,,
138,persona,0.8284974694252014,46,193,250,277,468,,,,,,,
138,coche,0.44606834650039673,52,1393,323,1463,374,,,,,,,
139,coche,0.43144476413726807,1,1242,316,1281,344,,,,,,,
139,coche,0.707312285900116,45,1421,320,1512,382,,,,,,,
139,persona,0.8483076095581055,46,196,256,279,469,,,,,,,
139,coche,0.4648418128490448,52,1392,323,1461,373,,,,,,,
140,coche,0.4075811505317688,1,1241,316,1279,344,,,,,,,
140,coche,0.6953428387641907,45,1421,321,1513,382,,,,,,,
140,persona,0.859871506690979,46,198,257,282,469,,,,,,,
140,coche,0.4662628769874573,52,1391,323,1459,372,,,,,,,
141,coche,0.4048044979572296,1,1240,316,1278,344,,,,,,,
141,coche,0.6924521327018738,45,1421,320,1514,382,,,,,,,
141,persona,0.8616296052932739,46,201,262,283,469,,,,,,,
141,coche,0.4475981891155243,52,1390,323,1457,372,,,,,,,
142,coche,0.42873015999794006,1,1239,316,1278,344,,,,,,,
142,coche,0.6913895010948181,45,1422,321,1514,382,,,,,,,
142,persona,0.8589346408843994,46,202,257,287,468,,,,,,,
142,coche,0.438568651676178,52,1389,323,1456,372,,,,,,,
143,coche,0.4129873812198639,1,1238,316,1277,344,,,,,,,
143,coche,0.684533417224884,45,1422,321,1514,381,,,,,,,
143,persona,0.8381403088569641,46,205,255,289,467,,,,,,,
143,coche,0.4248824119567871,52,1389,323,1458,372,,,,,,,
144,coche,0.3949689567089081,1,1237,316,1277,343,,,,,,,
144,coche,0.689971923828125,45,1423,321,1515,382,,,,,,,
144,persona,0.8205876350402832,46,210,255,293,465,,,,,,,
144,coche,0.4194909632205963,52,1387,323,1457,372,,,,,,,
145,coche,0.26478254795074463,1,1236,316,1276,344,,,,,,,
145,coche,0.671089231967926,45,1425,322,1515,382,,,,,,,
145,persona,0.8255710601806641,46,215,248,298,464,,,,,,,
145,coche,0.40443944931030273,52,1387,323,1457,372,,,,,,,
146,coche,0.25274068117141724,1,1235,315,1277,344,,,,,,,
146,coche,0.6621373295783997,45,1425,322,1515,382,,,,,,,
146,persona,0.7967859506607056,46,220,245,303,462,,,,,,,
146,coche,0.4604009687900543,52,1385,324,1448,368,,,,,,,
147,coche,0.22178080677986145,1,1235,314,1277,343,,,,,,,
147,coche,0.6162910461425781,45,1425,322,1515,381,,,,,,,
147,persona,0.7990143299102783,46,224,244,305,461,,,,,,,
147,coche,0.4281054437160492,52,1384,324,1445,366,,,,,,,
147,coche,0.39694079756736755,55,1388,323,1459,372,,,,,,,
148,coche,0.2059643417596817,1,1235,313,1276,343,,,,,,,
148,coche,0.5588604807853699,45,1425,322,1513,381,,,,,,,
148,persona,0.37775126099586487,46,230,243,309,461,,,,,,,
148,coche,0.5016324520111084,52,1383,324,1444,366,,,,,,,
148,coche,0.2807634472846985,55,1388,323,1460,372,,,,,,,
149,coche,0.18356603384017944,1,1235,314,1276,343,,,,,,,
149,coche,0.5550360083580017,45,1424,322,1512,380,,,,,,,
149,persona,0.11139578372240067,46,235,244,312,461,,,,,,,
149,coche,0.5478345155715942,52,1382,323,1444,365,,,,,,,
149,coche,0.2810728847980499,55,1388,323,1460,373,,,,,,,
150,coche,0.16556689143180847,1,1234,314,1275,344,,,,,,,
150,coche,0.5745985507965088,45,1425,322,1512,381,,,,,,,
150,persona,0.8002892732620239,46,237,242,314,460,,,,,,,
150,coche,0.5546558499336243,52,1381,323,1442,365,,,,,,,
150,coche,0.41989579796791077,55,1384,323,1456,372,,,,,,,
151,coche,0.1626579463481903,1,1233,313,1275,343,,,,,,,
151,coche,0.5814282298088074,45,1425,323,1512,381,,,,,,,
151,persona,0.792957067489624,46,241,246,317,461,,,,,,,
151,coche,0.5909618139266968,52,1380,323,1440,364,,,,,,,
151,coche,0.41900426149368286,55,1382,323,1454,371,,,,,,,
152,coche,0.14581821858882904,1,1233,312,1275,343,,,,,,,
152,coche,0.5592617988586426,45,1424,323,1511,381,,,,,,,
152,persona,0.7728244662284851,46,244,249,320,461,,,,,,,
152,coche,0.5513314604759216,52,1380,323,1439,364,,,,,,,
152,coche,0.4059642553329468,55,1383,323,1453,371,,,,,,,
153,coche,0.12870395183563232,1,1232,310,1275,343,,,,,,,
153,coche,0.5523607134819031,45,1424,323,1510,381,,,,,,,
153,persona,0.7979666590690613,46,246,251,321,460,,,,,,,
153,coche,0.5480596423149109,52,1380,323,1438,364,,,,,,,
153,coche,0.4108028709888458,55,1383,323,1454,371,,,,,,,
154,coche,0.12426666170358658,1,1232,309,1275,343,,,,,,,
154,coche,0.5327197313308716,45,1423,323,1509,381,,,,,,,
154,persona,0.787475049495697,46,249,252,324,459,,,,,,,
154,coche,0.5816816091537476,52,1379,323,1438,365,,,,,,,
154,coche,0.4198530316352844,55,1381,323,1453,371,,,,,,,
155,coche,0.11178459972143173,1,1234,311,1275,343,,,,,,,
155,coche,0.5280538201332092,45,1423,323,1508,381,,,,,,,
155,persona,0.7492230534553528,46,253,256,327,459,,,,,,,
155,coche,0.585440993309021,52,1377,323,1438,365,,,,,,,
155,coche,0.3926776945590973,55,1380,323,1452,372,,,,,,,
156,coche,0.5132350921630859,45,1424,323,1506,379,,,,,,,
156,persona,0.7238316535949707,46,255,255,329,459,,,,,,,
156,coche,0.5979841947555542,52,1378,323,1438,365,,,,,,,
156,coche,0.4000430405139923,55,1379,323,1452,372,,,,,,,
157,coche,0.5332901477813721,45,1426,323,1507,378,,,,,,,
157,persona,0.7976568937301636,46,261,253,333,452,,,,,,,
157,coche,0.5997093319892883,52,1378,324,1438,365,,,,,,,
